,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
LogisticRegression,0.7944091813797816,0.6718910027621737,0.6799522598071548,0.6758975960037464,"[[58576 10572]
 [10190 21649]]"
DecisionTree,0.8584273223286165,0.8028869397057807,0.7302365024027136,0.7648403704130138,"[[63440  5708]
 [ 8589 23250]]"
RandomForest,0.8593977442641132,0.8056556695314666,0.7301736863594962,0.7660598072328857,"[[63540  5608]
 [ 8591 23248]]"
SVM,0.8353550456989514,0.7936452783568836,0.6456547002104337,0.7120417034689389,"[[63803  5345]
 [11282 20557]]"
KNN,0.8488320278847773,0.8268191678169986,0.6584377650051824,0.7330838899185229,"[[64757  4391]
 [10875 20964]]"
LightGBM,0.8654084189054037,0.8392013979254191,0.7089418637520023,0.7685916643966222,"[[64823  4325]
 [ 9267 22572]]"
XGBoost,0.8609424975491895,0.8137296382483605,0.7248657307076227,0.7667314496436937,"[[63865  5283]
 [ 8760 23079]]"
